Nome,Pontuação,Mapa
jeux,20,usa
carlos,5,portugal
kapote,0,portugal
carlos romão,385,portugal
o incrivel,425,portugal
o incrivel,425,portugal
maria,70,portugal
maria,130,portugal
maria,170,portugal
maria,190,portugal
maria,260,portugal
maria,250,portugal
ss,0,portugal
sss,0,portugal
dede,0,portugal
deefe,0,usa
maria,280,portugal
bernaro the king,370,portugal
bernaro the king,370,portugal
bernard,145,usa
bernardo   eodekdek,440,portugal
bernardo   eodekdek,440,portugal
the man!,635,usa
maria,400,portugal
